Marca,Modelo,Introduccion De Modelo,Caracteristicas Generales,Colores Disponibles,Variante,Version / Gama,Detalle De Version,Año Modelo,Precio lista Usd,Tipo De Carroceria (SUV / Sedan),Motor Cilindros,Cilindrada Combustible Tipo,Tipo de gama,Descripción del modelo,Transmisión / Caja / Versión,Garantía,Potencia,Torque,Distancia Entre Ejes,Tamaño Aros,Dimensiones,¿Puede comprar paquete de mantenimiento prepagado (Kia Full Service)?,Primer servicio de mantenimiento,Frecuencia de mantenimiento,Sunroof,Capacidad de la maletera,Espejos eléctricos,Aire acondicionado,Radio Táctil,Cámara de retroceso,Airbags,Sistema de frenos,Tipo de frenos,Alzavidrios eléctricos,Volante forrado en cuero,Sensores de estacionamiento,Faros delanteros LED,Faros posteriores LED,Faros Neblineros,Panel de instrumentos,Tipo de llave,Conectividad de la radio,Suspensión delanteros,Suspensión posteriores,Llanta de repuesto,Cargador inalámbrico,Material de asientos,Maletero inteligente,Asistencia de Prevención de Colisión Frontal - FCA,Asistencia de Prevención de Colisión en el Punto Ciego - BCA,Asistencia de Mantenimiento de Carril - LKA,Asistencia de Prevención de Colisión con Tráfico Cruzado Trasero - RCCA,Asistencia de Seguimiento de Carril - LFA,Control crucero,Rieles en el techo,Freno de estacionamiento,Número de asientos,Tracción,Monitor de punto ciego,Asientos eléctricos,Autonomía (EV)
Mazda,MAZDA3 TOURING,"Un sedán elegante que combina diseño, eficiencia y tecnología.","1.	Motor 2.0 Turbo, 153Hp y 200 Nm
5.	Alerta de cambio de carril","Azul, Beige, Blanco, Gris, Negro, plateado y Rojo",KGTG LA7,Intermedia,MAZDA CX-5 TOURING 2.0L,2026,Desde $47.900,SUV,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-G automática de 6 velocidades Sport-tronic,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 153 caballos de fuerza,El motor produce un torque de 200 NM,"La distancia entre ejes es de 2,700 mm","Cuenta con aros de 19""",Las medidas del vehiculo son Longitud: 4.575 / Ancho: 1.845 / Altura: 1.680,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",NO,578 Litros,SI,A/C automático de doble zona,"10,25""",SI,6 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (Delanteros y traseros),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Independiente McPherson,Eje de torsión,SI,SI,Cuero negro,SI,NO,NO,SI,SI,SI,SI,NO,Eléctrico,5,2WD,NO,SI,N/A
Mazda,MAZDA CX-5 JINBA-ITTAI,"SUV versátil y elegante, que equilibra perfectamente espacio, tecnología y desempeño para el uso diario y viajes en familia.","1.	Paquete Black (aros y molduras negras)
2.	Cámara 360
3.	Parlantes Bose (alta definición)
4.	Cajuela de apertura automática y handsfree
5.	Luces frontales adaptativas","Azul, Beige, Blanco, Gris, Negro, plateado y Rojo",KGTG LBP,Tope Gama 4x2,MAZDA CX-5 JINBA-ITTAI 2.0L,2026,Desde $49.900,SUV,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-G automática de 6 velocidades Sport-tronic,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 153 caballos de fuerza,El motor produce un torque de 200 NM,"La distancia entre ejes es de 2,700 mm","Cuenta con aros de 19""",Las medidas del vehiculo son Longitud: 4.575 / Ancho: 1.845 / Altura: 1.680,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",NO,578 Litros,SI,A/C automático de doble zona,"10,25""",SI,6 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (Delanteros y traseros),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Independiente McPherson,Eje de torsión,SI,SI,Cuero café tan con negro,SI,NO,SI,SI,SI,SI,SI,NO,Eléctrico,5,2WD,NO,SI,N/A
Mazda,MAZDA CX-5 SIGNATURE,"SUV versátil y elegante, que equilibra perfectamente espacio, tecnología y desempeño para el uso diario y viajes en familia.","1.	Motor 2.5L 188HP/250Nm
2.	Selector de manejo (AWD/Sport)
3.	Asiste de descenso 
4.	Sunroof
5.	Protección UV en ventanas","Azul, Beige, Blanco, Gris, Negro y Rojo",KGTP LAM,Tope Gama 4x4,MAZDA CX-5 SIGNATURE 4X4 2.5L,2026,Desde $56.900,SUV,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-G automática de 6 velocidades Sport-tronic,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 188 caballos de fuerza,El motor produce un torque de 250 NM,"La distancia entre ejes es de 2,700 mm","Cuenta con aros de 19""",Las medidas del vehiculo son Longitud: 4.575 / Ancho: 1.845 / Altura: 1.680,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",SI,578 Litros,SI,A/C automático de doble zona,"12""",SI,7 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (Delanteros y traseros),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Independiente McPherson,Eje de torsión,SI,SI,Cuero Nappa café oscuro,SI,NO,NO,SI,SI,SI,SI,NO,Eléctrico,5,AWD,NO,SI,N/A
Mazda,MAZDA CX-60 2.5,"SUV de enfoque premium, que destaca por su potencia, diseño sofisticado y tecnologías avanzadas orientadas al confort y la eficiencia.","1.	Modos de manejo (Sport/AWD)
2.	Sistema de reconocimiento facial para ajuste de conducción
3.	Memorias de ajuste y ventilación de asientos 
4.	Compuerta trasera Handsfree
5.	Parlantes Bose","Azul, Beige, Blanco, Gris, Negro, plateado y Rojo",KS1M LAH / KMFS LAY,Intermedio,MAZDA CX-60 2.5 4X4,2026,Desde $67.900,SUV,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-Drive automática de 8 velocidades,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 185 caballos de fuerza,El motor produce un torque de 250 NM,"La distancia entre ejes es de 2,870 mm","Cuenta con aros de 20""",Las medidas del vehiculo son Longitud: 4.740 / Ancho: 1.890 / Altura: 1.686,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",SI,570 Litros,SI,A/C automático con doble zona,"12""",SI y 360º,7 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (Delanteros y traseros),SI,SI,SI,"12""",Smart Key,Apple Car Play & Android Auto inalámbrico,Doble horquilla,Multibrazo independiente,SI,SI,Cuero negro,SI,SI,SI,SI,SI,SI,SI,NO,Eléctrico,5,AWD,SI,SI,N/A
Mazda,MAZDA CX-60 3.3L TURBO MHEV,"SUV de enfoque premium, que destaca por su potencia, diseño sofisticado y tecnologías avanzadas orientadas al confort y la eficiencia.","1.	Motor 3.3 MHEV (Mild Hybrid) de 280Hp/450Nm
2.	Head-up display (holograma en parabrisas)
3.	 12 parlantes Bose
4.	Sunroof / Cámara 360
5.	Compuerta trasera eléctrica y handsfree","Azul, Beige, Blanco, Gris, Negro, plateado y Rojo",KMGA LA4,Tope de Gama,MAZDA CX-60 TAKUMI 4X4 3.3L TURBO MHEV,2026,Desde $78.900,SUV,6 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-Drive automática de 8 velocidades,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 280 caballos de fuerza,El motor produce un torque de 450 NM,"La distancia entre ejes es de 2,870 mm","Cuenta con aros de 20""",Las medidas del vehiculo son Longitud: 4.740 / Ancho: 1.890 / Altura: 1.686,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",SI,570 Litros,SI,A/C automático con doble zona,"12""",SI y 360º,7 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (Delanteros y traseros),SI,SI,SI,"12""",Smart Key,Apple Car Play & Android Auto inalámbrico,Doble horquilla,Multibrazo independiente,SI,SI,Cuero Tan con costuras en relieve,SI,SI,SI,SI,SI,SI,SI,NO,Eléctrico,5,AWD,SI,SI,N/A
Mazda,MAZDA CX-90 3.3L TURBO MHEV 6P,"SUV grande y familiar, que combina lujo, amplitud y alto desempeño, ideal para quienes buscan espacio sin renunciar al dinamismo.","1.	Motor 3.3L MHEV (Mild Hybrid) de 340Hp/500Nm
2.	Asientos tipo Cpaitan de 6 pasajeros (2 frontales-2 Segunda fila-2 traseros)
3.	Apertura de 90 grados de puertas
4.	Reconocimiento facial para ajuste de asiento y comodidad
5.	ADAS / Cámara 360","Azul, Beige, Blanco, Gris, Negro, plateado y Rojo",KDMK LAQ,Tope Gama,MAZDA CX-90 TAKUMI 6P. 4X4 3.3L TURBO MHEV,2026,Desde $88.900,SUV,6 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-Drive automática de 8 velocidades,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 340 caballos de fuerza,El motor produce un torque de 500 NM,"La distancia entre ejes es de 3,120 mm","Cuenta con aros de 21""",Las medidas del vehiculo son Longitud: 5.120 / Ancho: 1.994 / Altura: 1.746,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",SI,"Con 3 filas = 450 litros, Con 2 filas = 1,155 litros",SI,A/C automático con doble zona A/C 2da fila independiente,"12""",Si y Cámara 360° con See-Through-View,7 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (Delanteros y traseros),SI,SI,SI,"12""",Smart Key,Apple Car Play & Android Auto inalámbrico,Doble horquilla,Multibrazo independiente,SI,SI,Cuero Tan con costuras en relieve,SI,SI,SI,SI,SI,SI,SI,NO,Eléctrico,6,AWD,SI,SI,N/A
Mazda,BT-50 D/C 3.0 6AT 4x4,"Pick-up robusto y confiable, diseñado para el trabajo exigente y la aventura, con gran capacidad de carga y tecnología funcional.","1.	Motor turbodiesel intercooler 3.0L 190HP/450Nm 
2.	Asientos de cuero eléctrico
3.	Encendido de botón y encendido remoto
4.	 Pantalla 9"" Carplay inalámbrico
5.	Estribos, rieles de techo y aros de 18""","Azul, Beige, Blanco, Gris, Negro, plateado y Rojo",ZS91 I06,Tope de Gama,BT-50 3.0 DOB CAB AT 4X4,2026,Desde $65.900,Pick-Up,4 Cilindros,Diesel,N/A,N/A,Transmisión automática de 6 velocidades Shift-Tronic,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 190 caballos de fuerza,El motor produce un torque de 450 NM,"La distancia entre ejes es de 3,125 mm","Cuenta con aros de 18""","Las medidas del vehiculo son Longitud: 5.280 / Ancho: 1,870 / Altura: 1,810",N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",NO,1200 Litros,SI,"A/C automático de doble zona
A/C con filtro de pollen 
A/C con ventilación trasera","9""","SI, cámara de retroceso con líneas de guía",7 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),"Frenos delanteros de disco ventilado 17"" / traseros de tambor",SI,SI,SI (Delanteros y traseros),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Independiente McPherson doble brazo,Eje regido con ballestas,SI,NO,Cuero,NO,NO,NO,NO,NO,NO,SI,SI,Palanca,5,AWD,NO,SI,N/A
Mazda,Mazda MX-5 6AT RF,"Nuestro roadster deportivo icónico, ligero y ágil, que ofrece una experiencia de manejo emocionante y pura conexión con la carretera.","1.	Versalitidad de carro deportivo con motorización 2.0 181HP/200Nm/Caja de 6S/Dirección EPS/ tracción trasera
2.	Techo sólido rectrátil automáticamente
3.	Paquete Black (espejos, aros y techo negro)
4.	Cámara de retroceso y sensores traseros
5.	ADAS (abandono de carril/Punto ciego/Luces adaptativas)","Azul, Gris y Rojo",NH8A LAK,Tope de Gama,Mazda MX-5 6AT RF,2026,Desde $64.900,Roadster,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-Drive automática de 6 velocidades SportTronic,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 181 caballos de fuerza,El motor produce un torque de 200 NM,"La distancia entre ejes es de 2,310 mm","Cuenta con aros de 17""","Las medidas del vehiculo son Longitud: 3,915 / Ancho: 1,735 / Altura: 1,235",N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",SI,127 Litros,SI,A/C automático,"8.8""",SI,4 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Freno de disco ventilado delantero y Freno de disco trasero,SI,SI,SI (Traseos),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Doble Horquilla,Multibrazo independiente,NO,NO,Cuero,NO,NO,NO,NO,NO,NO,SI,NO,Freno de mano,2,Trasera,SI,SI,N/A
