Marca,Modelo,Introduccion De Modelo,Caracteristicas Generales,Colores Disponibles,Variante,Version / Gama,Detalle De Version,Año Modelo,Precio lista Usd,Tipo De Carroceria (SUV / Sedan),Motor Cilindros,Cilindrada Combustible Tipo,Tipo de gama,Descripción del modelo,Transmisión / Caja / Versión,Garantía,Potencia,Torque,Distancia Entre Ejes,Tamaño Aros,Dimensiones,¿Puede comprar paquete de mantenimiento prepagado (Kia Full Service)?,Primer servicio de mantenimiento,Frecuencia de mantenimiento,Sunroof,Capacidad de la maletera,Espejos eléctricos,Aire acondicionado,Radio Táctil,Cámara de retroceso,Airbags,Sistema de frenos,Tipo de frenos,Alzavidrios eléctricos,Volante forrado en cuero,Sensores de estacionamiento,Faros delanteros LED,Faros posteriores LED,Faros Neblineros,Panel de instrumentos,Tipo de llave,Conectividad de la radio,Suspensión delanteros,Suspensión posteriores,Llanta de repuesto,Cargador inalámbrico,Material de asientos,Maletero inteligente,Asistencia de Prevención de Colisión Frontal - FCA,Asistencia de Prevención de Colisión en el Punto Ciego - BCA,Asistencia de Mantenimiento de Carril - LKA,Asistencia de Prevención de Colisión con Tráfico Cruzado Trasero - RCCA,Asistencia de Seguimiento de Carril - LFA,Control crucero,Rieles en el techo,Freno de estacionamiento,Número de asientos,Tracción,Monitor de punto ciego,Asientos eléctricos,Autonomía (EV)
Lynk & Co,1,"SUV de enfoque premium, que combina diseño escandinavo, tecnología avanzada y motorizaciones eficientes.","•	Motor 2000cc turbo de 218hp y 325 NM
•	5 estrellas de seguridad EuroNCAP","Azul, Beige y Blanco",NO TENGO,Tope Gama,LYNK & CO 02 EV,2026,Desde $45.900,Crossover,eléctrico,Motor de 200 Kw,Crossover,"Crossover de estilo deportivo y urbano, que destaca por su diseño moderno, conectividad y experiencia de manejo dinámica, 100% electrico",No tiene por ser electrico,"5 años o 150,000 kilómetros (lo que ocurra primero)",200 Kw (268 caballos de fuerza),Cuenta con 343 newton-metro (NM),"La distancia entre ejes es de: 2,755mm","Cuenta con aros de 19""",Las medidas del vehiculo son Largo: 4460 / Ancho: 1845 / Alto: 1573 (mm),Se puede adquirir el beneficio.,"10,000 Km o 1 año (lo que ocurra primero)","Cada 10,000 Km o 1 año (lo que ocurra primero)",SI,450 Litros,SI,BI ZONA DIGITAL,"15,4”",SI,"(07) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,MATRIX LED,SI,SI,"10,2""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo,NA,SI,NAPPA,SI,SI,SI,SI,SI,SI,ADAPTATIVO,NO,ELECTRICO,5,FWD,SI,SI,435 Km
Lynk & Co,3,"Sedán compacto con carácter deportivo, que ofrece tecnología innovadora, seguridad avanzada y un desempeño ágil.","•	Motor 2000cc Turbo, 218hp y 325 NM
•	Transmisión DCT de 7 velocidades
•	Aire acondicionado de doble zona
•	Pantalla táctil de 12.8” con conectividad Apple Car Play & Android Auto
•	Asientos deportivos cuero genuino",Dorado y Negro,NO TENGO,Tope Gama,LYNK & CO 03 2.0T A/T,2025,Desde $47.900,Sedán,4 cilindros,Motor de 2000 centímetros cúbicos a gasolina Turbo inyectado,Sedán Compacto,"Sedán compacto con carácter deportivo, que ofrece tecnología innovadora, seguridad avanzada y un desempeño ágil.",7DCT,"5 años o 150,000 kilómetros (lo que ocurra primero)",218 caballos de fuerza,Cuenta con 325 newton-metro (NM),"La distancia entre ejes es de: 2,730mm","Cuenta con aros de 18""",Las medidas del vehiculo son Largo: 4684 / Ancho: 1843 / Alto: 1460 (mm),Se puede adquirir el beneficio.,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,450 Litros,SI,BI ZONA DIGITAL,"12,8”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,MATRIX LED,SI,SI,"12,3""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo,Emergencia,SI,CUERO,NO,SI,SI,SI,SI,SI,ADAPTATIVO,NO,ELECTRICO,5,FWD,SI,SI,N/A
Lynk & Co,3+,"Nuestro versión de alto desempeño del 03, con un enfoque más deportivo, mayor potencia y ajustes dinámicos orientados a una conducción más emocionante.","•	Sedán deportivo
•	Motor 2000cc Turbo 265hp y 380 NM 
•	Transmisión 8AT AWD 
•	Pantalla táctil de 12.8” con conectividad Apple Car Play & Android Auto
•	Asientos deportivos en alcántara con detalles de costura en color amarillo
•	Sistema de sonido Infinity con 10 parlantes",Blanco y Gris,NO TENGO,Tope Gama,LYNK & CO 03+ 4X4 2.0T A/T,2025,Desde $60.900,Sedán,4 cilindros,Motor de 2000 centímetros cúbicos a gasolina Turbo inyectado,Sedán con un espiritu deportivo,"Nuestro versión de alto desempeño del 03, con un enfoque más deportivo, mayor potencia y ajustes dinámicos orientados a una conducción más emocionante.",8AT,"5 años o 150,000 kilómetros (lo que ocurra primero)",265 caballos de fuerza,Cuenta con 380 newton-metro (NM),"La distancia entre ejes es de: 2,730mm","Cuenta con aros de 19""",Las medidas del vehiculo son Largo: 4697 / Ancho: 1843 / Alto: 1448 (mm),Se puede adquirir el beneficio.,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,450 Litros,SI,BI ZONA DIGITAL,"12,8”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,MATRIX LED,SI,SI,"12,3""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo,Emergencia,SI,ALCANTARA,NO,SI,SI,SI,SI,SI,ADAPTATIVO,NO,ELECTRICO,5,AWD,SI,SI,N/A
Lynk & Co,5,"SUV coupé de diseño audaz y sofisticado, que combina lujo, tecnología y un estilo distintivo.","•	Motor Turbo, 254hp y 350 NM 
•	Transmisión de 8 velocidades AWD
•	Asientos de cuero y alcántara
•	Pantalla central táctil 12,7” con conectividad Apple Car Play & Android Auto
•	Asientos deportivos cuero y alcántara
•	Sistema de sonido Infinity con 10 parlantes","Gris, Blanco y Negro",NO TENGO,Tope Gama,LYNK & CO 05 HYPER HALO 4X4 2.0T A/T,2025,Desde $55.900,SUV,4 cilindros,Motor de 2000 centímetros cúbicos a gasolina Turbo inyectado,SUV Coupé,"SUV coupé de diseño audaz y sofisticado, que combina lujo, tecnología y un estilo distintivo.",8AT,"5 años o 150,000 kilómetros (lo que ocurra primero)",254 caballos de fuerza,Cuenta con 350 newton-metro (NM),"La distancia entre ejes es de: 2,734mm","Cuenta con aros de 20""",Las medidas del vehiculo son Largo: 4592 / Ancho: 1879 / Alto: 1628 (mm),Se puede adquirir el beneficio.,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,627 Litros,SI,BI ZONA DIGITAL,"12,7”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,MATRIX LED,SI,SI,"12,3""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo,Emergencia,SI,NAPPA + NUBUCK,SI,SI,SI,SI,SI,SI,ADAPTATIVO,SI,ELECTRICO,5,AWD,SI,SI,N/A
Lynk & Co,6,"SUV compacto moderno y versátil, ideal para la ciudad, con un enfoque en conectividad, seguridad y eficiencia.","•	Motor 1500cc, 188hp y 290NM
•	Transmisión DCT 7 velocidades
•	6 bolsas de aire 
•	Pantalla central táctil 10.25” con conectividad Apple Car Play & Android Auto
•	Asientos deportivos en cuero","Gris, Blanco y Verde",NO TENGO,Intermedia,LYNK & CO 06 HYPER 1.5 A/T,2025,Desde $42.900,SUV,4 cilindros,Motor de 1500 centímetros cúbicos a gasolina Turbo inyectado,SUV Compacto,"SUV compacto moderno y versátil, ideal para la ciudad, con un enfoque en conectividad, seguridad y eficiencia.",7DCT,"5 años o 150,000 kilómetros (lo que ocurra primero)",181 caballos de fuerza,Cuenta con 290 newton-metro (NM),"La distancia entre ejes es de: 2,640mm","Cuenta con aros de 18""",Las medidas del vehiculo son Largo: 4340 / Ancho: 1820 / Alto: 1625 (mm),Se puede adquirir el beneficio.,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,280 Litros,SI,BI ZONA DIGITAL,"12,3”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,MATRIX LED,SI,SI,"10,25""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo,Emergencia,NO,CUERO,NO,SI,SI,SI,SI,SI,SI,SI,ELECTRICO,5,FWD,SI,SI,N/A
Lynk & Co,6 Hyper Halo,"SUV compacto moderno y versátil, ideal para la ciudad, con un enfoque en conectividad, seguridad y eficiencia.","•	Motor 1500cc, 188hp y 290NM
•	Asientos deportivos con soporte lumbar y ajuste electrico
•	Cargador inalámbrico
•	Luz ambiente
•	Compuerta trasera eléctrica 
•	Pintura bitono","Gris, Blanco y Verde",NO TENGO,Tope Gama,LYNK & CO 06 HYPER HALO 1.5 A/T,2025,Desde $45.900,SUV,4 cilindros,Motor de 1500 centímetros cúbicos a gasolina Turbo inyectado,SUV Compacto,"SUV compacto moderno y versátil, ideal para la ciudad, con un enfoque en conectividad, seguridad y eficiencia.",7DCT,"5 años o 150,000 kilómetros (lo que ocurra primero)",181 caballos de fuerza,Cuenta con 290 newton-metro (NM),"La distancia entre ejes es de: 2,640mm","Cuenta con aros de 18""",Las medidas del vehiculo son Largo: 4340 / Ancho: 1820 / Alto: 1625 (mm),Se puede adquirir el beneficio.,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,280 Litros,SI,BI ZONA DIGITAL,"12,3”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,MATRIX LED,SI,SI,"10,25""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo,Emergencia,SI,CUERO,SI,SI,SI,SI,SI,SI,ADAPTATIVO,SI,ELECTRICO,5,FWD,SI,SI,N/A
Lynk & Co,8,"SUV electrificado de nueva generación, que destaca por su tecnología avanzada, autonomía optimizada y diseño futurista (PHEV).","•	Motor Turbo 1500 c.c. PHEV, 345 hp y 580 Nm
•	Autonomía eléctrica líder en el sector de hasta 200 km¹ y una autonomía total de más de 1000 km 
•	Aire acondicionado trizona
•	Asientos en cuero genuino
•	Pantalla central táctil 15.4” con conectividad Apple Car Play & Android Auto",NO,NO TENGO,Tope Gama,LYNK & CO 08 PHEV HALO 1.5 A/T,2025,NO,SUV,4 cilindros,Motor de 1500 Turbo PHEV,SUV Familiar Electrificado,"SUV electrificado de nueva generación, que destaca por su tecnología avanzada, autonomía optimizada y diseño futurista (PHEV).",3DHT EVO,"5 años o 150,000 kilómetros (lo que ocurra primero)",345 caballos de fuerza (combinado entre motor gasolina y eléctrico),Cuenta con 580 newton-metro (NM),"La distancia entre ejes es de: 2,848mm","Cuenta con aros de 21""",Las medidas del vehiculo son Largo: 4820 / Ancho: 1915 / Alto: 1685 (mm),Se puede adquirir el beneficio.,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,545 Litros,SI,TRI ZONA DIGITAL,"15,4”",SI,"(07) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,MATRIX LED,SI,SI,"10,2""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo,NA,SI,NAPPA,SI,SI,SI,SI,SI,SI,ADAPTATIVO,SI,ELECTRICO,5,FWD,SI,SI,N/A
Lynk & Co,9,"SUV grande y familiar, que ofrece amplio espacio, confort premium y tecnologías de asistencia avanzadas para una experiencia de manejo segura y sofisticada.","•	Motor 2000cc MHEV Turbo gasolina de +254hp y 350 NM 
•	Transmisión de 8 velocidades AWD 
•	Pantalla central táctil 12,6” con conectividad Apple Car Play & Android Auto
•	Equipo de sonido Infinity 
•	Apertura de compuerta sin contacto
•	Aire acondicionado trizona",Negro,NO TENGO,Intermedia,LYNK & CO 09 HYPER 4X4 2.0T A/T,2026,Desde $69.900,SUV,4 cilindros,Motor de 2000 MHEV centímetros cúbicos a gasolina Turbo inyectado,SUV Familiar Electrificado,"SUV grande y familiar, que ofrece amplio espacio, confort premium y tecnologías de asistencia avanzadas para una experiencia de manejo segura y sofisticada.",8AT,"5 años o 150,000 kilómetros (lo que ocurra primero)",254 caballos de fuerza,Cuenta con 350 newton-metro (NM),"La distancia entre ejes es de: 2,984mm","Cuenta con aros de 20""",Las medidas del vehiculo son Largo: 5042 / Ancho: 1977 / Alto: 1780 (mm),Se puede adquirir el beneficio.,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,995 Litros,SI,TRI ZONA DIGITAL,"12” + 6""",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,MATRIX LED,SI,SI,"12,3""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo,Emergencia,SI,NAPPA,SI,SI,SI,SI,SI,SI,ADAPTATIVO,SI,ELECTRICO,7,AWD,SI,SI,N/A
Lynk & Co,9 Hyper Halo,"SUV grande y familiar, que ofrece amplio espacio, confort premium y tecnologías de asistencia avanzadas para una experiencia de manejo segura y sofisticada.","•	Motor 2000cc MHEV Turbo gasolina de +254hp y 350 NM 
•	Transmisión de 8 velocidades AWD 
•	Pantalla central táctil 12,6” con conectividad Apple Car Play & Android Auto
•	Head up display
•	Asientos de cuero en color camel
•	Equipo de sonido Harman Kardon 
•	Apertura de compuerta sin contacto
•	Aire acondicionado trizona","Negro, Blanco, Gris y Azul",NO TENGO,Tope Gama,LYNK & CO 09 HYPER HALO 4X4 2.0T A/T,2026,Desde $75.900,SUV,4 cilindros,Motor de 2000 MHEV centímetros cúbicos a gasolina Turbo inyectado,SUV Familiar Electrificado,"SUV grande y familiar, que ofrece amplio espacio, confort premium y tecnologías de asistencia avanzadas para una experiencia de manejo segura y sofisticada.",8AT,"5 años o 150,000 kilómetros (lo que ocurra primero)",254 caballos de fuerza,Cuenta con 350 newton-metro (NM),"La distancia entre ejes es de: 2,984mm","Cuenta con aros de 20""",Las medidas del vehiculo son Largo: 5042 / Ancho: 1977 / Alto: 1780 (mm),Se puede adquirir el beneficio.,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,995 Litros,SI,TRI ZONA DIGITAL,"12” + 6""",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,MATRIX LED,SI,SI,"12,3""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo,Emergencia,SI,NAPPA,SI,SI,SI,SI,SI,SI,ADAPTATIVO,SI,ELECTRICO,7,AWD,SI,SI,N/A
